"season","date","team","gameid","opponent","venue","homeaway","result","reg","oppreg","final","oppfinal","Poss","OppPoss","OffRtg","DefRtg","eFG%","TO%","OR%","FTR","OppeFG%","OppTO%","OppOR%","OppFTR","FG%","OppFG%","3PT%","Opp3PT%","FT%","OppFT%","Min","FIC","Off","Def","Reb","Ast","PF","STL","TO","BLK","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OppFIC","OppOff","OppDef","OppReb","OppAst","OppPF","OppSTL","OppTO","OppBLK","OppPTS","OppFGM","OppFGA","Opp3PM","Opp3PA","OppFTM","OppFTA","teamOdds","oppOdds","teamLine","totalLine","playoffGame","ot","mov"
"2020",2019-11-01,"Perth Wildcats","336789","Brisbane Bullets","Brisbane Entertainment Centre","Away",0,78,87,78,87,71,71,110.3,123,0.523,0.17,0.265,0.154,0.519,0.071,0.405,0.077,46.2,43.6,32,40.6,66.7,60,"200",55.9,12,28,40,15,13,3,12,5,78,30,65,8,25,10,15,69.8,16,26,42,21,19,6,5,1,87,34,78,13,32,6,10,1.78,2.05,-1.5,172.5,"N","N",-9
"2020",2019-10-31,"New Zealand Breakers","336788","Cairns Taipans","Vector Arena","Home",1,93,85,93,85,81,81,114.3,104.5,0.542,0.147,0.281,0.225,0.485,0.221,0.278,0.338,46.5,43.1,35.5,30.4,80,78.6,"200",67,10,26,36,21,23,6,12,5,93,33,71,11,31,16,20,50.2,14,28,42,16,22,4,19,4,85,28,65,7,23,22,28,1.4,3,-5.5,176.5,"N","N",8
"2020",2019-10-31,"Cairns Taipans","336788","New Zealand Breakers","Vector Arena","Away",0,85,93,85,93,81,81,104.5,114.3,0.485,0.221,0.278,0.338,0.542,0.147,0.281,0.225,43.1,46.5,30.4,35.5,78.6,80,"199",50.2,14,28,42,16,22,4,19,4,85,28,65,7,23,22,28,67,10,26,36,21,23,6,12,5,93,33,71,11,31,16,20,3,1.4,5.5,176.5,"N","N",-8
"2020",2019-10-28,"Cairns Taipans","336749","Melbourne United","Cairns Convention Centre","Home",1,90,85,90,85,79,79,114.2,107.9,0.481,0.076,0.275,0.163,0.494,0.152,0.364,0.103,45,42.3,17.2,39.3,86.7,53.3,"200",66.1,14,31,45,18,18,4,6,2,90,36,80,5,29,13,15,57.4,17,30,47,15,17,2,13,3,85,33,78,11,28,8,15,2.9,1.42,5.5,180,"N","N",5
"2020",2019-10-28,"Melbourne United","336749","Cairns Taipans","Cairns Convention Centre","Away",0,85,90,85,90,79,79,107.9,114.2,0.494,0.152,0.364,0.103,0.481,0.076,0.275,0.163,42.3,45,39.3,17.2,53.3,86.7,"200",57.4,17,30,47,15,17,2,13,3,85,33,78,11,28,8,15,66.1,14,31,45,18,18,4,6,2,90,36,80,5,29,13,15,1.42,2.9,-5.5,180,"N","N",-5
"2020",2019-10-27,"South East Melbourne Phoenix","336748","Adelaide 36ers","","Home",1,101,91,101,91,84,84,119.6,107.8,0.526,0.154,0.405,0.26,0.482,0.213,0.356,0.146,42.9,45.1,40.5,25,87,80,"200",80.6,16,24,40,21,19,11,13,5,101,33,77,15,37,20,23,57.1,22,30,52,17,23,5,18,3,91,37,82,5,20,12,15,1.45,2.75,-5,195,"N","N",10
"2020",2019-10-27,"Adelaide 36ers","336748","South East Melbourne Phoenix","","Away",0,91,101,91,101,84,84,107.8,119.6,0.482,0.213,0.356,0.146,0.526,0.154,0.405,0.26,45.1,42.9,25,40.5,80,87,"200",57.1,22,30,52,17,23,5,18,3,91,37,82,5,20,12,15,80.6,16,24,40,21,19,11,13,5,101,33,77,15,37,20,23,2.75,1.45,5,195,"N","N",-10
"2020",2019-10-27,"Illawarra Hawks","336747","Perth Wildcats","WIN Entertainment Centre","Home",0,76,81,76,81,77,77,98.5,104.9,0.432,0.143,0.326,0.074,0.515,0.143,0.195,0.162,37,41.2,31.3,42.4,75,73.3,"199",61,17,33,50,21,17,4,11,5,76,30,81,10,32,6,8,67.6,9,34,43,16,11,8,12,3,81,28,68,14,33,11,15,2.7,1.47,4.5,179,"N","N",-5
"2020",2019-10-27,"Perth Wildcats","336747","Illawarra Hawks","WIN Entertainment Centre","Away",1,81,76,81,76,77,77,104.9,98.5,0.515,0.143,0.195,0.162,0.432,0.143,0.326,0.074,41.2,37,42.4,31.3,73.3,75,"200",67.6,9,34,43,16,11,8,12,3,81,28,68,14,33,11,15,61,17,33,50,21,17,4,11,5,76,30,81,10,32,6,8,1.47,2.7,-4.5,179,"N","N",5
"2020",2019-10-26,"Sydney Kings","336746","Brisbane Bullets","Qudos Bank Arena","Home",1,94,79,94,79,81,81,115.8,97.3,0.662,0.197,0.122,0.123,0.452,0.074,0.083,0.178,53.8,39.7,44.4,32,72.7,81.3,"200",71.6,6,38,44,19,17,2,16,2,94,35,65,16,36,8,11,42.2,4,25,29,11,15,6,7,2,79,29,73,8,25,13,16,1.38,3.1,-6,174,"N","N",15
